,Region,County,Municipality,Location,Feature Carried,Feature Crossed,Owner,Year Built or Replaced,Month of inspection,Day of inspection
10885,8,Orange,Newburgh (Town),4.2 MI E JCT RTS I84+208,747 8301 1024,84I 84I83011329,NYSDOT,2007,8,29
4231,9,Delaware,Sidney (Town),IN EAST SIDNEY,COUNTY ROAD 44,OULEOUT CREEK,County,1973,8,29
5621,1,Essex,Keene (Town),2.5 M N OF KEENE,LACY ROAD,CLIFFORD BROOK,County,2012,8,29
7105,11,Kings,New York (City),NEAR BOROUGH PARK,18TH AVE,N Y & ATLANTIC/LI,City,1908,8,29
7589,4,Livingston,North Dansville (Town),1.5 MI S OF DANSVILLE,POAGS HOLE ROAD,CANASERAGA CREEK,County,2002,8,29
12098,11,Queens,New York (City),1.6 MI W JCT I678 & BL PK,AQUEDUCT R T RAMP,907D907DX5M23018,Port Authority of NY and NJ,1961,8,29
14432,6,Steuben,Jasper (Town),2.4 MILES EAST OF JASPER,BAUCHER ROAD,GARDENER SCHL CRK,Town,2018,8,29
14325,6,Steuben,Greenwood (Town),1.6 MI N OF REXVILLE,ROUGH & READY RD,BENNETTS CREEK,Town,2014,8,29
10157,3,Onondaga,Lafayette (Town),JCT OF RTS 20 & 11A,20  20 33081168,11A 11A33011067,NYSDOT,2001,8,29
8338,4,Monroe,Rochester (City),JCT RTE 47+GEN R ROCH,ELMWOOD AVENUE,GENESEE RIVER,City,1934,8,29
8704,10,Nassau,Hempstead (Town),3.8 MI E NYC L-SSP,908M908M03011041,LONG ISLAND RR,NYSDOT,1928,8,29
721,6,Allegany,Willing (Town),0.7 MI SE OF SHONGO,19  19 61011007,JOHNSON CREEK,NYSDOT,1994,8,29
1558,5,Cattaraugus,Ashford (Town),SH240 & Cattaraugus Creek,240  240 51021131,CATTARAUGUS CREEK,County,2006,8,29
16376,1,Washington,Greenwich (Town),2.5 MI SW OF SALEM,E GREENWICH ROAD,BATTEN KILL,County,1930,8,29
16766,8,Westchester,Harrison (Village),.8 ME E JCT HRP & SH 120,907WX,LINCOLN AVE,NYSDOT,1937,8,29
7167,11,Kings,New York (City),AT BOROUGH PARK,52ND STREET,N Y & ATLANTIC/LI,City,1906,8,29
4421,8,Dutchess,Fishkill (Town),JCT RTS I-84 & 9,84I 84I82021060,9 9 82051027,NYSDOT,1998,8,29
15463,9,Tioga,Owego (Town),4.5 MI SE JCT RTS 38 +38B,38B 38B65011045,CROCKER CREEK,NYSDOT,2014,8,29
12629,11,Richmond,New York (City),ARTHUR KILL,440 440 06011015,ARTHUR KILL ROAD,Port Authority of NY and NJ,1928,8,29
10676,8,Orange,Cornwall (Town),1.1 MI W  OF CORNWALL,HASBROUCK AVENUE,IDLEWILD CREEK,County,1940,8,29
4420,8,Dutchess,Fishkill (Town),JCT RTS I-84 & 9,84I 84I82021060,9 9 82051026,NYSDOT,1998,8,29
5657,1,Essex,Lewis (Town),3.0 MI NE OF LEWIS,MASON ROAD,SPRUCE MILL BROOK,County,2012,8,29
724,6,Allegany,Willing (Town),2.8 MI NW OF SHONGO,19  19 61011043,BEECH HILL CREEK,NYSDOT,1996,8,29
16110,8,Ulster,Wawarsing (Town),1.1 MI SW OF KERHONKSON,FORDEMOOR ROAD,TRIBUTARY to RONDOUT CREEK,Town,1976,8,29
861,11,Bronx,New York (City),JCT I95+ HUTCHINSON R PKY,95IX (SB),908A,NYS Thruway Authority,1955,8,29
7759,2,Madison,Lenox (Town),1.3 MI W JCT I90&INT 34,INDIAN OPENING RD,90IX,NYS Thruway Authority,1953,8,29
406,6,Allegany,Andover (Town),1.4 MI W OF ANDOVER,417  17 61031305,WNY & Pa RR,NYSDOT,1994,8,29
16047,8,Ulster,Shawangunk (Town),AT DWAARKILL,COUNTY ROAD 7,DWAAR KILL,County,2006,8,29
12269,11,Queens,New York (City),JFK INTERNATIONAL AIRPORT,SW RESTR SERV RD,VAN WYCK EXPRSSWY,Port Authority of NY and NJ,2000,8,29
1208,9,Broome,Conklin (Town),1 MI NW OF CORBETTSVILLE,FALLBROOK ROAD,LITTLE SNAKE CREEK,Town,1974,8,29
7850,4,Monroe,Brighton (Town),EXIT 21 OF I490,590 590 43011002,CSX,NYSDOT,1989,8,29
5650,1,Essex,Lewis (Town),2.5MI NE VILLAGE OF LEWIS,HULBERT ROAD,SPRUCE MILL BROOK,County,2012,8,29
1209,9,Broome,Conklin (Town),3.0 MI WEST OF CONKLIN,PIERCE CREEK RD,LITTLE SNAKE CREEK,County,1971,8,29
1738,5,Cattaraugus,Great Valley (Town),JCT OF RTS 219 AND 98,219 219 51013044,GREAT VALLEY CRK.,NYSDOT,1992,8,29
6275,1,Greene,Catskill (Town),JCT RTS 9W & 23,23  23 13061365,9W  9W13041079,NYSDOT,1968,8,29
2083,3,Cayuga,Mentz (Town),.1 Mi W Jct SH38 & Seneca,Haiti Rd,Seneca River,Town,2010,8,29
