,Region,County,Municipality,Location,Feature Carried,Feature Crossed,Owner,Year Built or Replaced,Month of inspection,Day of inspection
2376,5,Chautauqua,Fredonia (Village),"AT FREDONIA,RISLEY STREET",RISLEY STREET,CANADAWAY CREEK,County,2010,11,5
625,6,Allegany,Independence (Town),0.2 MI E OF WHITESVILLE,COUNTY ROAD 19,SPRING MILLS CRK,County,1973,11,5
623,6,Allegany,Independence (Town),2.0MI S OF WHITESVILLE,COUNTY ROAD 19,SPRING MILLS CRK,County,1991,11,5
4818,5,Erie,Buffalo (City),3.1 MI N JCT NY5 & 179,5   5 53023001,COMMERCE STREET,NYSDOT,1991,11,5
3741,3,Cortland,Homer (Town),4.3 MI N JCT I81 & SH 13,81I 81I32023034,NY SUSQUEHANNA& W,NYSDOT,1966,11,5
14878,10,Suffolk,Islip (Town),3.6 MI W JCT SH27 & SH454,OAKDLE-BOHEMIA RD,27  27 07051170 W.B.,NYSDOT,1997,11,5
5049,5,Erie,Colden (Town),3.7 MI N COLDEN,240 240 53011141,W BR CAZENOVIA CR,NYSDOT,2007,11,5
14866,10,Suffolk,Islip (Town),3.0 MI W JCT RTS 27 & 454,LOCUST AVENUE,27  27 07051176 W.B.,NYSDOT,1997,11,5
10305,3,Onondaga,Syracuse (City),EXIT 7 OF I81,81I 81I33032021,E CALTHROP AVENUE,NYSDOT,1965,11,5
10236,3,Onondaga,Onondaga (Town),JCT OF RTS I-81 NB + 11,81I 81I33031130,11  11 33031138,NYSDOT,1963,11,5
3760,3,Cortland,Homer (Village),HOMER INTERCHANGE & NYS&W,HOMER INTERCHANGE,NY SUSQUEHANNA& W,NYSDOT,1966,11,5
3452,8,Columbia,Canaan (Town),1.9 MI W OF FLATBROOK,COUNTY ROAD 5,FRISBEE CREEK,County,1956,11,5
14278,6,Steuben,Erwin (Town),5.3 M SW COOPERSPLAINS,BEEMAN HOLLOW RD,BEEMAN HOLLOW CRK,Town,1999,11,5
5079,5,Erie,Concord (Town),6.3 MI N JCT SH240 & SH39,240 X,SPRAGUE BROOK,County,1966,11,5
1775,5,Cattaraugus,Humphrey (Town),4 MI NE JCT RTS 219 & 98,98  98 51011041,BRANCH FORKS CRK,NYSDOT,2001,11,5
4810,5,Erie,Brant (Town),.4 MI W JCT US 20 & CR491,CAIN ROAD,DELAWARE CREEK,County,2011,11,5
10493,4,Ontario,Geneva (Town),6.8MI S JCT RTS 14 + 5+20,14  14 44041001,KASHONG CREEK,NYSDOT,1925,11,5
8289,4,Monroe,Rochester (City),1.4MI E JCT104+GENESEE R,104 104 43032037,CARTER STREET,NYSDOT,1969,11,5
14418,6,Steuben,Howard (Town),2.5 MI NE OF CANISTEO,COUNTY ROAD 27,STEPHENS GULCH,County,1955,11,5
14423,6,Steuben,Howard (Town),2.0 MI SE OF HOWARD,MCCADDAM ROAD,RICE GLEN CREEK,Town,1962,11,5
9201,11,New York,New York (City),W68ST E PF RIVERSIDE DR,WEST 68TH STREET,AMTRAK,City,2000,11,5
11204,4,Orleans,Yates (Town),3.0MI E JCT RTS 18 + 269,18  18 45021030,MARSH CREEK WEST,NYSDOT,1929,11,5
1791,5,Cattaraugus,Ischua (Town),5.7 MI N JCT SH 16 & I86,16  16 51013114,BRN ISCHUA CREEK,NYSDOT,2007,11,5
11029,8,Orange,Wawayanda (Town),5.8 MI E I84 INT 2,84I 84I83011105,INDIGOT CREEK,NYSDOT,1967,11,5
11030,8,Orange,Wawayanda (Town),5.8 MI E I84 INT 2,84I 84I83011105,INDIGOT CREEK,NYSDOT,1967,11,5
8290,4,Monroe,Rochester (City),1.4MI E JCT104+GENESEE R,104 104 43032037,CARTER STREET,NYSDOT,1969,11,5
10235,3,Onondaga,Onondaga (Town),JCT OF I81 SB & US 11,81I 81I33031130,11  11 33031138,NYSDOT,1963,11,5
3578,8,Columbia,Ghent (Town),1.3 MI NE OF GHENT,SLATE HILL ROAD,KLINE KILL,County,1929,11,5
3740,3,Cortland,Homer (Town),4.3 MI N JCT I81 & SH 13,81I 81I32023034,NY SUSQUEHANNA& W,NYSDOT,1966,11,5
4314,8,Dutchess,Amenia (Town),IN SOUTH AMENIA,COUNTY ROAD 3,WEBATUCK CREEK,County,1940,11,5
4448,8,Dutchess,La Grange (Town),0.4 MI SE OF FREEDOM PLNS,987G 987G82031127,SPROUT CREEK,NYSDOT,1937,11,5
15212,9,Sullivan,Neversink (Town),1.2 MI E OF LOWES CORNERS,EAST MOUNTAIN RD,RONDOUT CREEK,County,1968,11,5
