,Region,County,Municipality,Location,Feature Carried,Feature Crossed,Owner,Year Built or Replaced,Month of inspection,Day of inspection
10098,3,Onondaga,Elbridge (Town),JCT RTS 31 & I-90,31 31 33091015,90IX,NYSDOT,1983,7,25
7716,2,Madison,Eaton (Town),4.2 MI SE OF MORRISVILLE,LANDON ROAD,CHENANGO RIVER,County,1956,7,25
6814,7,Jefferson,Alexandria (Town),2.3 MI NE JCT 12 + 26B,12  12 73063334,CRANBERRY CREEK,NYSDOT,1966,7,25
12201,11,Queens,New York (City),JFK INTERNATIONAL AIRPORT,JI/ARR,VI-DEP/LOCAL ST,Port Authority of NY and NJ,2001,7,25
16270,1,Warren,Stony Creek (Town),2 MI SW STONY CREEK,STATES ROAD,ROARING BRANCH,County,1971,7,25
6698,2,Herkimer,Ohio (Town),1.5 M EAST WILMURT CORNER,ATWOOD LAKE ROAD,FOURMILE CREEK,Town,1996,7,25
16266,1,Warren,Stony Creek (Town),.25MI EAST OF STONY CREEK,CR3WARRENSBURG RD,STONY CREEK,County,2010,7,25
4131,9,Delaware,Kortright (Town),3 MI S OF DAVENPORT,MCKEE HILL ROAD,KORTRIGHT CREEK,County,2000,7,25
4812,5,Erie,Brant (Town),0.8 MI.N.OF BRANT,ELLIS ROAD,DELAWARE CREEK,Town,1957,7,25
10475,4,Ontario,East Bloomfield (Town),2 MI E HOLCOMB ON CR 30,NO BLOOMFIELD RD,MUD CREEK,County,1987,7,25
1420,9,Broome,Vestal (Town),0.8 MI E JCT RTS 17 + 26,17  17 91011046,CR 44 - Old Vestal Road,NYSDOT,1969,7,25
9481,5,Niagara,Wilson (Town),AT SW VILLAGE LINE,YOUNG STREET,E BR 12 MILE CRK,County,2000,7,25
1421,9,Broome,Vestal (Town),.8 MI E JCT SH 17 & SH 26,17  17 91011046,CR 44 - Old Vestal Road,NYSDOT,1969,7,25
4127,9,Delaware,Kortright (Town),5.8 MI N OF BLOOMVILLE,COUNTY ROAD 33,KORTRIGHT CREEK,County,1930,7,25
10888,8,Orange,Newburgh (Town),1.7 MI N JCT RT. I-87&300,87IX,MILL STREET,NYS Thruway Authority,1953,7,25
3881,9,Delaware,Bovina (Town),IN BOVINA,CR 6,LITT DELAWARE RVR,County,1991,7,25
10447,4,Ontario,Bristol (Town),3 MILES SOUTH OF HONEOYE,COUNTY ROAD 33,MILL CREEK,County,1998,7,25
8352,4,Monroe,Rochester (City),MAIN DR. (PARK) OVR CANAL,MOORE DRIVE,390I390I43012001,NYSDOT,1981,7,25
5335,5,Erie,Newstead (Town),4.5 MI N JCT US20 & SH358,POHL ROAD,BR ELLICOTT CREEK,County,1937,7,25
10283,3,Onondaga,Salina (Town),0.3 MI.SW JCT.81I & 90I,SEVENTH NORTH ST.,81I 81I33033009,NYSDOT,1986,7,25
