,Region,County,Municipality,Location,Feature Carried,Feature Crossed,Owner,Year Built or Replaced,Month of inspection,Day of inspection
7508,4,Livingston,Avon (Town),1.8 MILES SOUTH OF AVON,PAPERMILL ROAD,CONESUS OUTLET,County,2018,12,12
47,1,Albany,Albany (City),.56 MI SE EXIT 23 OF I87,87IX,NORMANS KILL,NYS Thruway Authority,1954,12,12
12494,1,Rensselaer,Schodack (Town),JCT RTS 9 & I90,9   9 14071064,90I 90I14022074,NYSDOT,1973,12,12
983,11,Bronx,New York (City),AT HUNTS POINT,LONGWOOD AVENUE,AMTRAK/CSXT/P&W,City,1908,12,12
4888,5,Erie,Buffalo (City),JCT.RTS.198 & I-190,198 WB to 190I NB,NIAGARA ST RTE266,NYSDOT,1963,12,12
10345,3,Onondaga,Syracuse (City),I-690 WB OVER STATE+JAMES,690I690I33012026,NORTH STATE STREET,NYSDOT,1968,12,12
10346,3,Onondaga,Syracuse (City),CONNECTOR I690EB TO I81SB,690I690I33012027,N STATE ST- US 11,NYSDOT,1968,12,12
15936,8,Ulster,Rosendale (Town),JCT RTE32+RONDOUT CR,32   32 86021192,RONDOUT CREEK,NYSDOT,1934,12,12
16289,1,Warren,,1.6mi E of I87 Exit 25,8 8 17101302,Mill Pond Outlet,NYSDOT,1900,12,12
86,1,Albany,Albany (City),I787 NB OFF CLINTON AVE,I787TO CLINTONAV,WATER STREET,NYSDOT,1970,12,12
4440,8,Dutchess,Hyde Park (Town),N. Park Elementary School,SCHOOL ACCESS ROAD,CRUM ELBOW CREEK,Other,2011,12,12
16774,8,Westchester,Harrison (Village),1.2 MI N MAMARONECK RYE,BROADWAY,MNRR NH LINE,Railroad,1887,12,12
9424,5,Niagara,Royalton (Town),1.4 MI E OF WALCOTTSVILLE,GRISWOLD STREET,TRIB MUD CREEK,County,2019,12,12
10094,3,Onondaga,East Syracuse (Village),1. MI W JCT I-690 EB+481I,690I690I33013008,BRIDGE STREET,NYSDOT,1971,12,12
10829,8,Orange,Montgomery (Town),1.1 MI E JCT I84 & SH 208,84I 84I83011298,NORFOLK SOUTHERN,NYSDOT,1968,12,12
4378,8,Dutchess,East Fishkill (Town),2.1 MILES E JCT I84 & TSP,84I 84I82021146,52  52 82042154,NYSDOT,1968,12,12
16482,4,Wayne,Butler (Town),JCT OF RTS 89 + 104,89  89 37031152,104 104 37041303,NYSDOT,1970,12,12
613,6,Allegany,Hume (Town),2.6 MI NW OF HUME,MERWIN ROAD,COLD CREEK,Town,1973,12,12
14651,10,Suffolk,Babylon (Town),SOUTH OF LINDENHURST,RIVIERA DR WEST,SANTA BARBARA CNL,Town,2018,12,12
10095,3,Onondaga,East Syracuse (Village),1. MI W JCT I-690 WB+481I,690I690I33013008,BRIDGE STREET,NYSDOT,1971,12,12
14650,10,Suffolk,Babylon (Town),SOUTH OF LINDENHURST,RIVIERA DR EAST,SANTA BARBARA CNL,Town,2018,12,12
4606,8,Dutchess,Union Vale (Town),2.8 MI E JCT RTE 55+TSP,55  55 82032096,JACKSON CREEK,NYSDOT,2016,12,13
908,11,Bronx,New York (City),E149th St,EAST 149TH STREET,AMTRAK/CSXT/P&W,City,1907,12,13
17025,8,Westchester,Ossining (Village),IN OSSINING,WESTERLY ROAD,WESTERLY ROAD WAY,Village,1913,12,13
9676,2,Oneida,Oriskany (Village),17MI W JCT RTS 291+69,69  69 26023074,ORISKANY CREEK,NYSDOT,1921,12,13
8990,11,New York,New York (City),IN WEST MANHATTAN,11TH AVE VIADUCT,LIRR WEST SIDE YD,City,1934,12,13
1446,9,Broome,Vestal (Town),HAMLET OF VESTAL,CR 48,SUSQUEHANNA RIVER,County,1935,12,13
116,1,Albany,Albany (City),0.2 MI NW JCT 85 & 910D,WASHINGTON AVENUE,ACCESS ROAD B,State - Other,1963,12,13
776,11,Bronx,New York (City),JCT I95+I278,95I 95IX1M21026,895I895IX1M11013,NYSDOT,1951,12,13
8159,4,Monroe,Irondequoit (Town),2.8 MI N OF BRIGHTON,NORTON STREET,DENSMORE CREEK,County,1962,12,13
17310,8,Westchester,Yorktown (Town),TSP(NB) AT NEW CROTON RES,987G 987G87011093,NEW CROTON RESRVR,NYSDOT,1931,12,13
4467,8,Dutchess,Milan (Town),0.1 MI W JCT RTS 199+308,199 199 82021094,SAWKILL CREEK,NYSDOT,2016,12,13
7946,4,Monroe,Fairport (Village),JCT RTE 31+STATE BARGE C,31F 31F43011034,ERIE CANAL,NYSDOT,1975,12,13
4513,8,Dutchess,Pleasant Valley (Town),0.8 MI N OF PLEASANT VLLY,COUNTY ROAD 72,SWALLOW STREAM,County,2016,12,13
71,1,Albany,Albany (City),JCT ORANGE ST & I787 SB,CLINTON AVE RAMP,WATER STREET,NYSDOT,1970,12,13
10783,8,Orange,Highlands (Town),.3 MI N JCT US 9W & US 6,9W  9W83021004,POPOLOPEN CREEK,NYSDOT,1937,12,13
109,1,Albany,Albany (City),SO MALL EXP OFF TO I787NB,SMX EB TO 787NB,787I787I11011014,NYSDOT,1973,12,13
15786,8,Ulster,Ellenville (Village),0.9 MI SE JCT RTS 52&209,52  52 86021106,NORTH GULLY CREEK,NYSDOT,1981,12,13
10705,8,Orange,Deerpark (Town),5.1 MI N JCT RTS 42+97,42  42 83012071,BUSH KILL,NYSDOT,1961,12,14
15698,3,Tompkins,Ithaca (Town),1 MI E OF CORNELL UNIVER,FOREST HOME DR,FALL CREEK,County,1996,12,14
11791,8,Putnam,Southeast (Town),JCT RTS I84+6+22,84I 84I84031090,6   6 84041386,NYSDOT,1970,12,14
17022,8,Westchester,Ossining (Village),AT OSSINNING,PRISON ROAD,MNRR HU LINE,State - Other,2014,12,14
8287,4,Monroe,Rochester (City),JCT RTE 104 + GENESEE R,104 104 43032021,GENESEE RIVER,NYSDOT,1931,12,14
11792,8,Putnam,Southeast (Town),JCT RTS I84+6+22,84I 84I84031091,6   6 84041134,NYSDOT,1970,12,14
15985,8,Ulster,Shandaken (Town),.4 MI N JCT SH 42 & SH 28,42  42 86031004,BUSHNELLSVILLE CREEK,NYSDOT,2016,12,14
13232,1,Schenectady,Duanesburg (Town),JCT OF RTS 20 & I88,20  20 16191071,88I 88I16081086,NYSDOT,1981,12,14
981,11,Bronx,New York (City),LEGGETT AVE,LEGGETT AVENUE,AMTRAK/CSXT/P&W,City,1906,12,14
828,11,Bronx,New York (City),2.4 MI N I278&I678,907F,AMTRAK/CSXT/P&W,City,1907,12,14
8985,11,New York,New York (City),RTE 27 OVER EAST RIVER,27  27 02021003,278IX,City,1909,12,14
16470,1,Washington,Whitehall (Village),SAUNDERS ST WHITEHALL,SAUNDERS ST,D&H/CPRR CML78.,Railroad,1932,12,14
40,1,Albany,Albany (City),I787 NB TO DUNN BR RAMP,787NB TO SMX EB,TO QUAY ST-BRDWAY,NYSDOT,1973,12,14
16926,8,Westchester,Mount Vernon (City),1.1 MILES WEST OF PELHAM,N FULTON AVENUE,MNRR NH LINE,Railroad,1900,12,15
830,11,Bronx,New York (City),.1 MILE N JCT I95 & BRP,907H907HX1M11011,AMTRAK/CSXT/P&W,NYSDOT,1951,12,15
100,1,Albany,Albany (City),NB RMP US9 & 20 O/HDSN RV,RAMP DUNN- NBI787,ON RAMP NB I787,NYSDOT,1972,12,15
6277,1,Greene,Catskill (Town),.2 MI W JCT SH 23 & SH385,23  23 13061367,CSX TRANSPRTATION,NYSDOT,1992,12,15
138,1,Albany,Bethlehem (Town),1 MI S.JCT 9W < 396,9W  9W11051052,CSX TRANS/C P RWY,NYSDOT,1976,12,15
10858,8,Orange,New Windsor (Town),IN NEWBURGH,MILL STREET,QUASSAICK CREEK,City,1883,12,16
